haveit,pubDate,title,link,description
0,1449315367000,04 12 2015,http://arthurpetry.com/podcastgen/?name=2015-12-05_04_12_2015.mp3,nada
1,1449840180000,11 12 2015,http://arthurpetry.com/podcastgen/?name=2015-12-11_11_12_2015.mp3,Arthur Petry
1,1450455660000,18 12 2015,http://arthurpetry.com/podcastgen/?name=2015-12-18_18_12_2015.mp3,"Petry fala sobre o bloqueio do WhatsApp, Star Wars e lembranças da infância."
1,1451695140000,01 01 2016,http://arthurpetry.com/podcastgen/?name=2016-01-01_01_01_2016.mp3,"""Especial"" de ano novo"
0,1455390840000,13 02 2016,http://arthurpetry.com/podcastgen/?name=2016-02-13_13_02_2016.mp3,O retorno.
0,1456013417000,20 02 2016,http://arthurpetry.com/podcastgen/?name=2016-02-20_20_02_2016.mp3,Arthur Petry
0,1456524780000,26 02 2016,http://arthurpetry.com/podcastgen/?name=2016-02-26_26_02_2016.mp3,"Petry fala sobre calor, dar pro Lulu Santos e a morte do Tadeu."
0,1456835340000,Terça Feira no Trânsito #5,http://arthurpetry.com/podcastgen/?name=2016-03-03_01_03_2016.mp3,"Petry fala sobre assessores de imprensa, Donald Trump e sexualizaçao do corpo da mulher."
0,1457471340000,Terça no Trânsito #6,http://arthurpetry.com/podcastgen/?name=2016-03-10_terca_no_transito_6.mp3,"Petry fala sobre domingos de manhã, Deadpool e Ana Paula do Big Brother."
0,1458602820000,21 03 2016,http://arthurpetry.com/podcastgen/?name=2016-03-21_21_03_2016.mp3,Petry fala sobre o impeachment e uma feminista no Altas Horas
0,1459302540000,Terça no Trânsito #7,http://arthurpetry.com/podcastgen/?name=2016-03-30_terca_no_transito_7.mp3,"Petry fala sobre iPhones, conta sobre o seu texto rejeitado na faculdade e a campanha de dia das mulheres do Sport Clube Internacional."
0,1460511600000,Terça no Trânsito #8,http://arthurpetry.com/podcastgen/?name=2016-04-12_terca_no_transito_8.mp3,"Petry fala sobre o podcast, ser passivo da vida e como lidar com muçulmanos e bancos."
0,1461154860000,Terça no Trânsito #9,http://arthurpetry.com/podcastgen/?name=2016-04-20_terca_no_transito_9.mp3,"Petry fala sobre crianças escravas na Malásia, como fazer um Impeachment no velho oeste e Jair Bolsonaro."
0,1461807420000,Terça no Trânsito #10,http://arthurpetry.com/podcastgen/?name=2016-04-27_terca_no_transito_10.mp3,"Petry fala sobre jogar sem centroavante, inverno e inabilidade social."
0,1462329360000,Terça no Trânsito #11,http://arthurpetry.com/podcastgen/?name=2016-05-03_terca_no_transito_11.mp3,"Petry fala sobre nordestinos, treinar no inverno e o fim da internet."
0,1462933980000,Terça no Trânsito #12,http://arthurpetry.com/podcastgen/?name=2016-05-10_terca_no_transito_12.mp3,"Petry fala sobre se sentir um lixo, alimentação e gordos no fantástico"
0,1463625720000,Terça no Trânsito #13,http://arthurpetry.com/podcastgen/?name=2016-05-18_terca_no_transito_13.mp3,"Petry fala sobre democracia, bares e vocação."
0,1464143400000,Terça no Trânsito #14,http://arthurpetry.com/podcastgen/?name=2016-05-24_terca_no_transito_14.mp3,"Pety fala sobre parar protestos com um trator, fã que tentou matar a Ana Hickmann, máfica política e raiva."
0,1464749880000,Terça no Trânsito #15,http://arthurpetry.com/podcastgen/?name=2016-05-31_terca_no_transito_15.mp3,"Petry fala sobre o suposto estupro, feminismo e falsas acusações."
0,1465074360000,Entrevista #2 - Allan Goldman,http://arthurpetry.com/podcastgen/?name=2016-06-04_entrevista_2_-_allan_goldman.mp3,"Petry conversa com Allan Goldman, ilustrador dispensado da empresa que o agenciava por comentários em rede social. A conversa gira em torno desse fato, do futuro dos ""Justiceiros Sociais"" no Brasil e esquerdismo."
0,1465353660000,Terça no Trânsito #16,http://arthurpetry.com/podcastgen/?name=2016-06-07_terca_no_transito16.mp3,"Petry fala sobre não levar a sério os sentimentos, Tico Santa Cruz, MC Biel, controvérsia no X-Men e dar pro Caio Castro."
